seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
3,2,1.5,balanced,0.25,768,,9,133,234,7,341,0.95,0.9545454545454546,0.36239782016348776,0.44871794871794873,0.52465483234714,0.6104651162790697,0.7173678532901834,0.7789317507418397,0.7909314076839977,0.7541946890560732
3,3,2.0,balanced,0.35,768,,10,110,141,14,457,0.8870967741935484,0.868421052631579,0.43824701195219123,0.4230769230769231,0.5866666666666667,0.5689655172413793,0.7362784471218207,0.717391304347826,0.7684841403687134,0.7002158447410496
3,4,1.5,balanced,0.3,768,,10,130,163,10,419,0.9285714285714286,0.9102564102564102,0.44368600682593856,0.3622448979591837,0.6004618937644342,0.5182481751824818,0.7620164126611958,0.6988188976377953,0.7514019514479818,0.6591378866702027
3,5,0.5,balanced,0.35,768,,10,157,183,12,378,0.9289940828402367,0.9295774647887324,0.46176470588235297,0.3548387096774194,0.6168958742632613,0.5136186770428015,0.7726377952755905,0.7021276595744681,0.7571395304090163,0.6074336209682014
4,1,1.0,balanced,0.3,768,,10,135,165,18,404,0.8823529411764706,0.928,0.45,0.46586345381526106,0.5960264900662252,0.6203208556149733,0.7401315789473685,0.774365821094793,0.7455285125336802,0.7779453935591054
4,2,2.0,balanced,0.45,768,,9,100,102,24,489,0.8064516129032258,0.9090909090909091,0.49504950495049505,0.541871921182266,0.6134969325153374,0.6790123456790124,0.7163323782234957,0.8005822416302766,0.7554256137397409,0.8483431156755791
4,3,1.5,balanced,0.35,768,,10,119,169,9,425,0.9296875,0.9222222222222223,0.4131944444444444,0.42783505154639173,0.5721153846153846,0.5845070422535211,0.74375,0.7490974729241877,0.7745099080654297,0.7356866215675026
4,4,0.25,balanced,0.5,768,,10,111,97,28,486,0.7985611510791367,0.8205128205128205,0.5336538461538461,0.5039370078740157,0.6397694524495677,0.624390243902439,0.7264397905759162,0.7289293849658315,0.7174638626685125,0.7299784064883631
4,5,1.5,balanced,0.4,768,,10,154,138,13,425,0.9221556886227545,0.9310344827586207,0.5273972602739726,0.525974025974026,0.6710239651416122,0.6721991701244814,0.8020833333333334,0.8067729083665338,0.7889075803860512,0.8128362290306164
5,1,2.0,balanced,0.25,768,,10,133,180,17,392,0.8866666666666667,0.9424460431654677,0.4249201277955272,0.4924812030075188,0.5745140388768899,0.6469135802469136,0.7283680175246441,0.7968369829683698,0.7347579250812435,0.8104276968224099
5,2,2.0,balanced,0.3,768,,9,112,163,12,428,0.9032258064516129,0.9272727272727272,0.4072727272727273,0.42857142857142855,0.5614035087719298,0.5862068965517241,0.7263294422827496,0.7522123893805309,0.7556031903926756,0.7136404388118724
5,3,2.0,balanced,0.35,768,,10,90,142,15,475,0.8571428571428571,0.917910447761194,0.3879310344827586,0.5616438356164384,0.5341246290801187,0.6968838526912181,0.6901840490797546,0.8145695364238411,0.6409169799168971,0.8288098082350464
5,4,2.0,balanced,0.3,768,,10,158,198,7,359,0.9575757575757575,0.9545454545454546,0.4438202247191011,0.4581818181818182,0.6065259117082533,0.6191646191646192,0.7775590551181102,0.7845579078455791,0.8355578599253218,0.7587619759684304
5,5,2.0,balanced,0.25,768,,10,162,206,5,357,0.9700598802395209,0.950354609929078,0.44021739130434784,0.46206896551724136,0.6056074766355141,0.6218097447795824,0.7818532818532818,0.7845433255269321,0.7822425866050966,0.7738125797538856
