seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
4,4,0.5,balanced,0.55,47,0.5,10,98,69,41,514,0.7050359712230215,0.7307692307692307,0.5868263473053892,0.6333333333333333,0.6405228758169934,0.6785714285714286,0.677731673582296,0.7089552238805971,0.7062118784160234,0.7483247367865917
4,5,1.5,balanced,0.35,51,0.5,10,159,206,8,357,0.9520958083832335,0.9540229885057471,0.43561643835616437,0.4585635359116022,0.5977443609022557,0.6194029850746269,0.7696030977734754,0.7844990548204159,0.761357222304338,0.7674636522193303
5,1,1.0,balanced,0.3,43,0.5,10,137,226,13,346,0.9133333333333333,0.9424460431654677,0.3774104683195592,0.46953405017921146,0.5341130604288499,0.6267942583732058,0.711318795430945,0.7844311377245509,0.6972151240544325,0.7731609309724772
5,2,2.0,balanced,0.4,48,0.5,9,103,143,21,448,0.8306451612903226,0.8454545454545455,0.4186991869918699,0.484375,0.5567567567567567,0.6158940397350994,0.6940700808625337,0.7357594936708861,0.7283435957273386,0.6907131222324412
5,3,0.5,balanced,0.35,45,0.5,10,94,228,11,389,0.8952380952380953,0.9552238805970149,0.2919254658385093,0.46715328467153283,0.44028103044496486,0.6274509803921569,0.633423180592992,0.7901234567901234,0.5936133235612376,0.8050042076134873
5,4,2.0,balanced,0.3,47,0.5,10,159,214,6,343,0.9636363636363636,0.9772727272727273,0.4262734584450402,0.43434343434343436,0.5910780669144982,0.6013986013986014,0.7696030977734754,0.7818181818181819,0.8107715077810994,0.7313204691917663
5,5,2.0,balanced,0.35,47,0.5,10,160,194,7,369,0.9580838323353293,0.9148936170212766,0.4519774011299435,0.49049429657794674,0.6142034548944337,0.6386138613861386,0.7827788649706457,0.7799274486094316,0.7689790893725784,0.7403115876359218
6,1,2.0,balanced,0.35,45,0.5,10,137,173,21,391,0.8670886075949367,0.907563025210084,0.44193548387096776,0.45188284518828453,0.5854700854700855,0.6033519553072626,0.727176220806794,0.7552447552447552,0.6982930052777945,0.7079071501541311
6,2,2.0,balanced,0.3,40,0.5,9,113,208,11,383,0.9112903225806451,0.956140350877193,0.35202492211838005,0.40671641791044777,0.5078651685393258,0.5706806282722513,0.6915544675642595,0.7527624309392266,0.7371877358030582,0.7463403137865984
6,3,1.5,balanced,0.35,44,0.5,10,114,188,14,406,0.890625,0.9235668789808917,0.37748344370860926,0.4289940828402367,0.5302325581395348,0.5858585858585859,0.7002457002457002,0.7505175983436853,0.7536909657343873,0.7196249171570659
6,4,2.0,balanced,0.35,49,0.5,10,125,156,9,432,0.9328358208955224,0.9278350515463918,0.44483985765124556,0.45918367346938777,0.6024096385542169,0.6143344709897611,0.7649938800489596,0.7705479452054794,0.7273727416421698,0.7435315088350658
6,5,0.25,balanced,0.4,53,0.5,10,162,238,5,325,0.9700598802395209,0.9245283018867925,0.405,0.44545454545454544,0.5714285714285714,0.6012269938650306,0.7584269662921348,0.7608695652173914,0.762183051354673,0.7188436435461018
7,1,1.5,balanced,0.5,47,0.5,10,89,84,40,509,0.689922480620155,0.7906976744186046,0.5144508670520231,0.5271317829457365,0.5894039735099338,0.6325581395348837,0.6458635703918723,0.718816067653277,0.6946779207883106,0.7642030183930095
7,2,2.0,balanced,0.45,46,0.5,9,114,140,26,435,0.8142857142857143,0.746268656716418,0.44881889763779526,0.390625,0.5786802030456852,0.5128205128205128,0.7002457002457002,0.6313131313131313,0.737621574327004,0.5541360530304063
7,3,2.0,balanced,0.4,70,1.0,10,113,169,15,425,0.8828125,0.9253731343283582,0.40070921985815605,0.49865951742627346,0.551219512195122,0.6480836236933798,0.7115869017632241,0.7901444350042481,0.7671957927425412,0.7785905647062987
7,4,1.0,balanced,0.4,45,0.5,10,127,141,12,442,0.9136690647482014,0.8285714285714286,0.47388059701492535,0.38839285714285715,0.6240786240786241,0.5288753799392097,0.7706310679611651,0.6754658385093167,0.7079372918116594,0.6696770212656535
7,5,2.0,balanced,0.35,44,0.5,10,160,184,15,371,0.9142857142857143,0.8785714285714286,0.46511627906976744,0.48046875,0.6165703275529865,0.6212121212121212,0.7662835249042146,0.7536764705882353,0.7537527180223931,0.7475084571695007
8,1,2.0,balanced,0.45,47,0.5,10,96,104,36,486,0.7272727272727273,0.8269230769230769,0.48,0.5341614906832298,0.5783132530120482,0.6490566037735849,0.6593406593406593,0.7452339688041595,0.7121620806706158,0.7536038718045842
8,2,1.5,balanced,0.35,41,0.5,9,124,222,16,353,0.8857142857142857,0.937007874015748,0.3583815028901734,0.39932885906040266,0.5102880658436214,0.56,0.6843267108167771,0.7382133995037221,0.7452231331152342,0.6978213879685212
8,3,1.5,balanced,0.3,43,0.5,10,94,208,10,410,0.9038461538461539,0.9142857142857143,0.31125827814569534,0.41423948220064727,0.4630541871921182,0.5701559020044543,0.6545961002785515,0.7364787111622555,0.6103583608556621,0.7302786314719009
8,4,2.0,balanced,0.3,39,0.5,10,151,170,11,390,0.9320987654320988,0.8555555555555555,0.470404984423676,0.3719806763285024,0.6252587991718427,0.5185185185185185,0.7791537667698658,0.6790123456790124,0.7973469918677777,0.6532907605221614
8,5,2.0,balanced,0.35,44,0.5,10,166,194,7,363,0.9595375722543352,0.900990099009901,0.46111111111111114,0.4396135265700483,0.6228893058161351,0.5909090909090909,0.7889733840304183,0.7446808510638298,0.769260936158535,0.7117878375242207
9,1,0.25,balanced,0.45,49,0.5,10,134,186,18,384,0.881578947368421,0.8899082568807339,0.41875,0.44907407407407407,0.5677966101694916,0.5969230769230769,0.7219827586206896,0.7438650306748467,0.7131698883807862,0.7275558954682677
9,2,1.0,balanced,0.3,47,0.5,9,113,221,11,370,0.9112903225806451,0.9382716049382716,0.3383233532934132,0.4691358024691358,0.49344978165938863,0.6255144032921811,0.6807228915662651,0.7818930041152263,0.7230400426951168,0.6820508731452997
9,3,2.0,balanced,0.45,76,1.0,10,66,107,23,526,0.7415730337078652,0.8728813559322034,0.3815028901734104,0.5175879396984925,0.5038167938931297,0.6498422712933754,0.6238185255198487,0.767511177347243,0.5617091042891614,0.8168131381764475
9,4,0.5,balanced,0.55,48,0.5,10,137,83,40,462,0.7740112994350282,0.759493670886076,0.6227272727272727,0.5714285714285714,0.690176322418136,0.6521739130434783,0.7381465517241379,0.7125890736342043,0.7832525944968491,0.7485524059095174
9,5,1.0,balanced,0.45,42,0.5,10,152,153,17,408,0.8994082840236687,0.9230769230769231,0.49836065573770494,0.44609665427509293,0.6413502109704642,0.6015037593984962,0.7747196738022426,0.7604562737642585,0.7432871945674868,0.7497522986989641
10,1,1.0,balanced,0.35,44,0.5,10,126,158,14,424,0.9,0.971830985915493,0.44366197183098594,0.323943661971831,0.5943396226415094,0.4859154929577465,0.7464454976303317,0.6941649899396378,0.7185806432040418,0.5843971703697765
10,2,2.0,balanced,0.3,46,0.5,9,129,237,11,338,0.9214285714285714,0.9649122807017544,0.3524590163934426,0.40145985401459855,0.5098814229249012,0.5670103092783505,0.6965442764578834,0.7534246575342466,0.7470425617689036,0.6946952766852605
10,3,1.0,balanced,0.4,45,0.5,10,91,171,17,443,0.8425925925925926,0.8524590163934426,0.3473282442748092,0.3795620437956204,0.4918918918918919,0.5252525252525253,0.6556195965417867,0.6824146981627297,0.6207853267213133,0.5747074908834617
10,4,2.0,balanced,0.35,48,0.5,10,142,156,12,412,0.922077922077922,0.90625,0.47651006711409394,0.3240223463687151,0.6283185840707964,0.4773662551440329,0.7768052516411379,0.6666666666666666,0.8135520411967553,0.626816516732124
10,5,2.0,balanced,0.25,52,0.5,10,163,257,6,304,0.9644970414201184,0.9137931034482759,0.3880952380952381,0.39849624060150374,0.5534804753820034,0.5549738219895288,0.7436131386861314,0.726027397260274,0.7481181975557031,0.6547056569453518
