seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
5,1,,None,0.1,768,,10,102,93,48,479,0.68,0.8057553956834532,0.5230769230769231,0.5863874345549738,0.591304347826087,0.6787878787878788,0.6415094339622641,0.749665327978581,0.6977195347310835,0.7723785535129777
5,2,,None,0.05,768,,9,85,81,39,510,0.6854838709677419,0.7727272727272727,0.5120481927710844,0.5592105263157895,0.5862068965517241,0.648854961832061,0.6419939577039275,0.7179054054054054,0.7156636656130492,0.7254499294406938
5,3,,None,0.05,768,,10,84,110,21,507,0.8,0.835820895522388,0.4329896907216495,0.6021505376344086,0.5618729096989966,0.7,0.6840390879478827,0.775623268698061,0.635201863676169,0.7952414177146905
5,4,,None,0.1,768,,10,160,231,5,326,0.9696969696969697,0.9621212121212122,0.4092071611253197,0.40189873417721517,0.5755395683453237,0.5669642857142857,0.7611798287345385,0.7523696682464455,0.7827723465392881,0.7222489568157716
5,5,,None,0.15,768,,10,152,192,15,371,0.9101796407185628,0.9148936170212766,0.4418604651162791,0.48314606741573035,0.5949119373776908,0.6323529411764706,0.7509881422924901,0.776173285198556,0.729152028843426,0.7254332929294004
6,1,,None,0.1,768,,10,143,217,15,347,0.9050632911392406,0.9495798319327731,0.3972222222222222,0.3951048951048951,0.5521235521235521,0.5580246913580247,0.7207661290322581,0.7414698162729659,0.7167417750280303,0.674154056431107
6,2,,None,0.15,768,,9,88,64,36,527,0.7096774193548387,0.7982456140350878,0.5789473684210527,0.6066666666666667,0.6376811594202898,0.6893939393939394,0.6790123456790124,0.7508250825082509,0.7227950408390604,0.7431387263623849
6,3,,None,0.05,768,,10,115,202,13,392,0.8984375,0.9044585987261147,0.3627760252365931,0.42771084337349397,0.5168539325842697,0.5807770961145194,0.6936067551266586,0.7395833333333334,0.7451177292878991,0.7141789343730313
6,4,,None,0.15,768,,10,123,163,11,425,0.917910447761194,0.9175257731958762,0.43006993006993005,0.41013824884792627,0.5857142857142857,0.5668789808917197,0.7481751824817519,0.7355371900826446,0.7148929151728096,0.7250968041151757
6,5,,None,0.15,768,,10,163,292,4,271,0.9760479041916168,0.9245283018867925,0.35824175824175825,0.392,0.5241157556270096,0.550561797752809,0.7257346393588602,0.7270029673590505,0.737417475018952,0.7131932392007317
7,1,,None,0.15,768,,10,90,65,39,528,0.6976744186046512,0.813953488372093,0.5806451612903226,0.5785123966942148,0.6338028169014085,0.6763285024154589,0.6706408345752608,0.7526881720430108,0.7229547756202952,0.7878300291745566
7,2,,None,0.35,768,,9,96,63,44,512,0.6857142857142857,0.7014925373134329,0.6037735849056604,0.5595238095238095,0.6421404682274248,0.6225165562913907,0.6675938803894298,0.6676136363636364,0.7393702077152314,0.6203853233321402
7,3,,None,0.2,768,,10,116,173,12,421,0.90625,0.9104477611940298,0.4013840830449827,0.5041322314049587,0.5563549160671463,0.648936170212766,0.7240948813982522,0.7840616966580977,0.7461052562682403,0.767495687440491
7,4,,None,0.05,768,,10,131,173,8,410,0.9424460431654677,0.9142857142857143,0.4309210526315789,0.3404255319148936,0.5914221218961625,0.49612403100775193,0.7616279069767442,0.6837606837606838,0.7498070559788423,0.6368653178629521
7,5,,None,0.05,768,,10,160,200,15,355,0.9142857142857143,0.8928571428571429,0.4444444444444444,0.4699248120300752,0.5981308411214953,0.6157635467980296,0.7547169811320755,0.7566585956416465,0.7346538857056849,0.7296636537511426
8,1,,None,0.05,768,,10,96,100,36,490,0.7272727272727273,0.8653846153846154,0.4897959183673469,0.5555555555555556,0.5853658536585366,0.6766917293233082,0.6629834254143646,0.7785467128027682,0.690457986581645,0.7952638239208343
8,2,,None,0.05,768,,9,119,154,21,421,0.85,0.889763779527559,0.4358974358974359,0.4396887159533074,0.576271186440678,0.5885416666666666,0.7142857142857143,0.738562091503268,0.7526648420274481,0.7037836274813178
8,3,,None,0.2,768,,10,98,207,6,411,0.9423076923076923,0.9071428571428571,0.32131147540983607,0.41368078175895767,0.4792176039119804,0.5682326621923938,0.6796116504854369,0.7324106113033448,0.6500781041286691,0.7028089392553402
8,4,,None,0.1,768,,10,156,190,6,370,0.9629629629629629,0.9222222222222223,0.4508670520231214,0.32421875,0.6141732283464567,0.4797687861271676,0.7847082494969819,0.6737012987012987,0.7843970966590559,0.631712002607935
8,5,,None,0.15,768,,10,160,176,13,381,0.9248554913294798,0.8811881188118812,0.47619047619047616,0.4635416666666667,0.6286836935166994,0.6075085324232082,0.7782101167315175,0.7466442953020134,0.7466775896509711,0.7198385830174261
9,1,,None,0.05,768,,10,138,220,14,350,0.9078947368421053,0.9541284403669725,0.3854748603351955,0.40625,0.5411764705882353,0.5698630136986301,0.7142857142857143,0.7514450867052023,0.7191737063669721,0.7490765023176092
9,2,,None,0.1,768,,9,112,217,12,374,0.9032258064516129,0.9382716049382716,0.3404255319148936,0.46060606060606063,0.49448123620309054,0.6178861788617886,0.6787878787878788,0.7770961145194274,0.7063256188380972,0.698170478503527
9,3,,None,0.05,768,,10,63,84,26,549,0.7078651685393258,0.8305084745762712,0.42857142857142855,0.5240641711229946,0.5338983050847458,0.6426229508196721,0.6262425447316103,0.7435508345978755,0.5614811347443405,0.8093706195752265
9,4,,None,0.25,768,,10,160,143,17,402,0.903954802259887,0.8987341772151899,0.528052805280528,0.41040462427745666,0.6666666666666666,0.5634920634920635,0.7912957467853611,0.7259713701431493,0.8096932487210949,0.741525631980705
9,5,,None,0.1,768,,10,139,104,30,457,0.8224852071005917,0.8769230769230769,0.5720164609053497,0.5253456221198156,0.6747572815533981,0.6570605187319885,0.7562568008705114,0.7734056987788331,0.750442598806772,0.7367476338256548
10,1,,None,0.1,768,,10,109,104,31,478,0.7785714285714286,0.8450704225352113,0.5117370892018779,0.410958904109589,0.6175637393767706,0.5529953917050692,0.705045278137128,0.6976744186046512,0.7141908607693486,0.6064067976161327
10,2,,None,0.25,768,,9,124,198,16,377,0.8857142857142857,0.9298245614035088,0.38509316770186336,0.4649122807017544,0.5367965367965368,0.6198830409356725,0.7029478458049887,0.7748538011695907,0.7321268252251453,0.7070068942497899
10,3,,None,0.05,768,,10,97,212,11,402,0.8981481481481481,0.9508196721311475,0.313915857605178,0.36024844720496896,0.46522781774580335,0.5225225225225225,0.6545209176788124,0.7160493827160493,0.6723789809001304,0.6290488398169956
10,4,,None,0.05,768,,10,141,122,13,446,0.9155844155844156,0.921875,0.5361216730038023,0.38562091503267976,0.6762589928057554,0.543778801843318,0.8020477815699659,0.7212713936430318,0.8107383127254567,0.650670890524719
10,5,,None,0.05,768,,10,154,206,15,355,0.9112426035502958,0.896551724137931,0.42777777777777776,0.49523809523809526,0.5822306238185255,0.6380368098159509,0.7432432432432432,0.771513353115727,0.7539871472169977,0.6745730278273039
