seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
5,5,1.0,balanced,0.4,11,0.1,10,153,249,14,314,0.9161676646706587,0.8936170212765957,0.3805970149253731,0.4581818181818182,0.5377855887521968,0.6057692307692307,0.7149532710280374,0.7508939213349225,0.6546063227985224,0.630379923951859
6,1,2.0,balanced,0.35,11,0.1,10,131,237,27,327,0.8291139240506329,0.9159663865546218,0.35597826086956524,0.3906810035842294,0.49809885931558934,0.5477386934673367,0.655,0.7218543046357616,0.5669578640618091,0.620878773667864
6,2,2.0,balanced,0.3,40,0.5,9,113,208,11,383,0.9112903225806451,0.956140350877193,0.35202492211838005,0.40671641791044777,0.5078651685393258,0.5706806282722513,0.6915544675642595,0.7527624309392266,0.7371877358030582,0.7463403137865984
6,3,1.0,balanced,0.4,7,0.1,10,120,257,8,337,0.9375,0.9044585987261147,0.3183023872679045,0.3622448979591837,0.4752475247524752,0.517304189435337,0.6749156355455568,0.696078431372549,0.6611761281658487,0.5888069693233731
6,4,1.0,balanced,0.35,8,0.1,10,122,256,12,332,0.9104477611940298,0.9175257731958762,0.32275132275132273,0.38197424892703863,0.4765625,0.5393939393939394,0.6673960612691466,0.71658615136876,0.5687810502113344,0.6859290195934789
6,5,1.0,balanced,0.4,9,0.1,10,154,274,13,289,0.9221556886227545,0.839622641509434,0.3598130841121495,0.39732142857142855,0.5176470588235295,0.5393939393939394,0.7025547445255474,0.6867283950617284,0.6693175611593096,0.6247838943434892
7,1,1.5,balanced,0.35,9,0.1,10,118,247,11,346,0.9147286821705426,0.9069767441860465,0.3232876712328767,0.29770992366412213,0.4777327935222672,0.4482758620689655,0.6696935300794552,0.6435643564356436,0.5711319655898331,0.6584512824594971
7,2,1.5,balanced,0.35,12,0.1,9,127,247,13,328,0.9071428571428571,0.8656716417910447,0.339572192513369,0.232,0.49416342412451364,0.3659305993690852,0.6798715203426124,0.5598455598455598,0.64582112411007,0.43818035172191566
7,3,1.0,balanced,0.45,9,0.1,10,111,206,17,388,0.8671875,0.900497512437811,0.3501577287066246,0.43614457831325304,0.49887640449438203,0.5876623376623377,0.669481302774427,0.7424118129614438,0.6604234869767718,0.6736897198742062
7,4,1.0,balanced,0.4,45,0.5,10,127,141,12,442,0.9136690647482014,0.8285714285714286,0.47388059701492535,0.38839285714285715,0.6240786240786241,0.5288753799392097,0.7706310679611651,0.6754658385093167,0.7079372918116594,0.6696770212656535
7,5,0.5,balanced,0.4,10,0.1,10,163,271,12,284,0.9314285714285714,0.8785714285714286,0.37557603686635943,0.4019607843137255,0.535303776683087,0.5515695067264574,0.718694885361552,0.710161662817552,0.6784654687961684,0.6928264335644436
8,1,2.0,balanced,0.35,11,0.1,10,115,245,17,345,0.8712121212121212,0.9519230769230769,0.3194444444444444,0.3852140077821012,0.46747967479674796,0.5484764542936288,0.6475225225225225,0.7355126300148589,0.6033651590472706,0.6802121019410142
8,2,1.0,balanced,0.4,8,0.1,9,121,231,19,344,0.8642857142857143,0.937007874015748,0.34375,0.3251366120218579,0.491869918699187,0.4827586206896552,0.6633771929824561,0.6807780320366132,0.6371564255527563,0.5182468237435156
8,3,0.5,balanced,0.45,7,0.1,10,82,225,22,393,0.7884615384615384,0.8785714285714286,0.2671009771986971,0.41414141414141414,0.39902676399026765,0.562929061784897,0.5670816044260027,0.7176196032672112,0.3828202366908866,0.6495857568718252
8,4,2.0,balanced,0.3,39,0.5,10,151,170,11,390,0.9320987654320988,0.8555555555555555,0.470404984423676,0.3719806763285024,0.6252587991718427,0.5185185185185185,0.7791537667698658,0.6790123456790124,0.7973469918677777,0.6532907605221614
8,5,2.0,balanced,0.35,44,0.5,10,166,194,7,363,0.9595375722543352,0.900990099009901,0.46111111111111114,0.4396135265700483,0.6228893058161351,0.5909090909090909,0.7889733840304183,0.7446808510638298,0.769260936158535,0.7117878375242207
9,1,2.0,balanced,0.35,12,0.1,10,138,259,14,311,0.9078947368421053,0.908256880733945,0.34760705289672544,0.336734693877551,0.5027322404371585,0.4913151364764268,0.6865671641791045,0.678082191780822,0.6505945929270963,0.6460684365545366
9,2,1.5,balanced,0.35,10,0.1,9,111,226,13,365,0.8951612903225806,0.9135802469135802,0.3293768545994065,0.40437158469945356,0.48156182212581344,0.5606060606060606,0.6662665066026411,0.7297830374753451,0.6297336516430202,0.5957069662642434
9,3,1.0,balanced,0.4,8,0.1,10,71,236,18,397,0.797752808988764,0.8813559322033898,0.23127035830618892,0.33766233766233766,0.35858585858585856,0.48826291079812206,0.5354449472096531,0.6666666666666666,0.38087043052586106,0.7018912874250942
9,4,1.5,balanced,0.45,11,0.1,10,155,146,22,399,0.8757062146892656,0.8481012658227848,0.5149501661129569,0.35638297872340424,0.6485355648535565,0.50187265917603,0.7680872150644202,0.6646825396825397,0.7203868802619041,0.6411099292573335
9,5,1.0,balanced,0.45,7,0.1,10,146,223,23,338,0.863905325443787,0.9076923076923077,0.3956639566395664,0.38688524590163936,0.5427509293680297,0.542528735632184,0.6985645933014354,0.7151515151515152,0.638366217505962,0.6420263094120102
10,1,0.25,balanced,0.45,9,0.1,10,116,223,24,359,0.8285714285714286,0.8591549295774648,0.3421828908554572,0.2147887323943662,0.48434237995824636,0.3436619718309859,0.6451612903225806,0.5369718309859155,0.5701103216970718,0.3560971440319215
10,2,1.0,balanced,0.3,8,0.1,9,131,345,9,230,0.9357142857142857,0.9736842105263158,0.27521008403361347,0.29133858267716534,0.4253246753246753,0.4484848484848485,0.6322393822393823,0.6630824372759857,0.6270108029750249,0.5060524978149309
10,3,0.5,balanced,0.35,9,0.1,10,103,368,5,246,0.9537037037037037,0.9508196721311475,0.21868365180467092,0.20422535211267606,0.35578583765112265,0.336231884057971,0.5703211517165006,0.5492424242424242,0.48917435547991356,0.3451805328552041
10,4,2.0,balanced,0.4,8,0.1,10,133,171,21,397,0.8636363636363636,0.8125,0.4375,0.28415300546448086,0.5807860262008734,0.42105263157894735,0.7228260869565217,0.592255125284738,0.7239369814911515,0.47226119229542757
10,5,2.0,balanced,0.25,10,0.1,10,165,342,4,219,0.9763313609467456,0.9310344827586207,0.3254437869822485,0.30337078651685395,0.4881656804733728,0.4576271186440678,0.6973795435333897,0.6585365853658537,0.6424046107943117,0.43320684920922903
