seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
1,1,2.0,balanced,0.4,768,,10,109,99,34,480,0.7622377622377622,0.8921568627450981,0.5240384615384616,0.5141242937853108,0.6210826210826211,0.6523297491039427,0.6987179487179487,0.7777777777777778,0.7236323148216282,0.8318500858520625
1,2,2.0,balanced,0.4,768,,9,120,150,20,425,0.8571428571428571,0.8571428571428571,0.4444444444444444,0.48868778280542985,0.5853658536585366,0.622478386167147,0.7228915662650602,0.7448275862068966,0.781627901122744,0.7556666478270291
1,3,2.0,balanced,0.3,768,,10,117,200,11,394,0.9140625,0.9152542372881356,0.36908517350157727,0.4426229508196721,0.5258426966292135,0.5966850828729282,0.7056694813027744,0.7541899441340782,0.7798425734048889,0.7439181874587879
1,4,1.5,balanced,0.35,768,,10,124,137,9,452,0.9323308270676691,0.8942307692307693,0.47509578544061304,0.42081447963800905,0.6294416243654822,0.5723076923076923,0.7818411097099621,0.7299843014128728,0.7719812822153371,0.7206682491934032
1,5,2.0,balanced,0.5,768,,10,141,111,26,452,0.844311377245509,0.8473282442748091,0.5595238095238095,0.5904255319148937,0.6730310262529833,0.6959247648902821,0.7663043478260869,0.7794943820224719,0.777387620864483,0.8285753378187046
2,1,1.5,balanced,0.35,768,,10,133,148,26,415,0.8364779874213837,0.9378531073446328,0.47330960854092524,0.538961038961039,0.6045454545454545,0.6845360824742268,0.7251908396946565,0.8169291338582677,0.7141718407785949,0.7869113531063777
2,2,1.5,balanced,0.2,768,,9,119,227,5,364,0.9596774193548387,0.972972972972973,0.3439306358381503,0.4268774703557312,0.5063829787234042,0.5934065934065934,0.7066508313539193,0.7747489239598279,0.7581450910570265,0.7483080172046762
2,3,2.0,balanced,0.3,768,,10,103,187,9,423,0.9196428571428571,0.9230769230769231,0.35517241379310344,0.42,0.5124378109452736,0.5773195876288659,0.6978319783197832,0.7446808510638298,0.7909155829664586,0.7607753990527711
2,4,2.0,balanced,0.25,768,,10,144,202,5,371,0.9664429530201343,0.9440559440559441,0.4161849710982659,0.4838709677419355,0.5818181818181818,0.6398104265402843,0.7643312101910829,0.7931844888366627,0.7763024443351831,0.7766209982895171
2,5,2.0,balanced,0.3,768,,10,159,175,8,388,0.9520958083832335,0.8875,0.47604790419161674,0.3817204301075269,0.6347305389221557,0.5338345864661654,0.7934131736526946,0.7015810276679841,0.7880913716945748,0.6776572964396916
